text,label
Software installation failed I am facing this issue,IT
WiFi is not working asap,IT
Bonus not received I am facing this issue,Finance
System is crashing frequently kindly resolve,IT
Maternity leave application help needed,HR
Work from home approval request asap,HR
Computer is very slow I am facing this issue,IT
Tax deduction issue in payslip kindly resolve,Finance
My laptop is not working kindly resolve,IT
Tax deduction issue in payslip asap,Finance
Joining formalities query asap,HR
Need attendance correction I am facing this issue,HR
Reimbursement not processed kindly resolve,Finance
Tax deduction issue in payslip I am facing this issue,Finance
Reimbursement not processed,Finance
Unable to connect to VPN kindly resolve,IT
Blue screen error on startup asap,IT
Incorrect salary calculation,Finance
Invoice payment delay,Finance
Blue screen error on startup kindly resolve,IT
Need attendance correction asap,HR
Tax deduction issue in payslip urgently,Finance
Salary not credited this month urgently,Finance
Work from home approval request kindly resolve,HR
System is crashing frequently I am facing this issue,IT
Salary not credited this month please help,Finance
Need leave approval for medical reasons asap,HR
PF contribution issue kindly resolve,Finance
Invoice payment delay,Finance
Password reset not working kindly resolve,IT
TDS mismatch in salary slip kindly resolve,Finance
Work from home approval request urgently,HR
Email not syncing on device urgently,IT
Need leave approval for medical reasons asap,HR
Email not syncing on device please help,IT
Reimbursement not processed I am facing this issue,Finance
Update personal details in HR system I am facing this issue,HR
System is crashing frequently,IT
Resignation process guidance needed please help,HR
Resignation process guidance needed please help,HR
WiFi is not working asap,IT
Email not syncing on device,IT
PF contribution issue I am facing this issue,Finance
Computer is very slow please help,IT
Work from home approval request,HR
Maternity leave application help needed urgently,HR
Joining formalities query please help,HR
Tax deduction issue in payslip I am facing this issue,Finance
Cannot access company portal I am facing this issue,IT
Invoice payment delay,Finance
Reimbursement not processed,Finance
Invoice payment delay I am facing this issue,Finance
Cannot access company portal asap,IT
Unable to connect to VPN urgently,IT
System is crashing frequently,IT
Need leave approval for medical reasons urgently,HR
Joining formalities query kindly resolve,HR
Need attendance correction kindly resolve,HR
Expense claim not approved kindly resolve,Finance
Need attendance correction please help,HR
Cannot access company portal I am facing this issue,IT
Maternity leave application help needed urgently,HR
Tax deduction issue in payslip urgently,Finance
Bonus not received please help,Finance
Computer is very slow asap,IT
Expense claim not approved asap,Finance
Reimbursement not processed,Finance
Invoice payment delay urgently,Finance
Employee benefits information needed kindly resolve,HR
Need leave approval for medical reasons asap,HR
HR policy clarification required asap,HR
Computer is very slow urgently,IT
System is crashing frequently kindly resolve,IT
Maternity leave application help needed asap,HR
Salary not credited this month,Finance
Employee benefits information needed please help,HR
Email not syncing on device,IT
WiFi is not working kindly resolve,IT
Unable to access payslip urgently,HR
Joining formalities query kindly resolve,HR
Bank account update required for salary kindly resolve,Finance
Cannot access company portal asap,IT
Expense claim not approved please help,Finance
TDS mismatch in salary slip kindly resolve,Finance
Blue screen error on startup please help,IT
Work from home approval request please help,HR
Computer is very slow,IT
Tax deduction issue in payslip please help,Finance
Work from home approval request I am facing this issue,HR
System is crashing frequently asap,IT
Computer is very slow,IT
Employee benefits information needed I am facing this issue,HR
Tax deduction issue in payslip kindly resolve,Finance
Blue screen error on startup kindly resolve,IT
HR policy clarification required urgently,HR
Need leave approval for medical reasons asap,HR
Salary not credited this month urgently,Finance
System is crashing frequently,IT
System is crashing frequently urgently,IT
Reimbursement not processed urgently,Finance
Salary not credited this month asap,Finance
Work from home approval request I am facing this issue,HR
System is crashing frequently kindly resolve,IT
Update personal details in HR system please help,HR
Bank account update required for salary asap,Finance
Incorrect salary calculation,Finance
Software installation failed urgently,IT
Expense claim not approved,Finance
Work from home approval request please help,HR
Expense claim not approved please help,Finance
Computer is very slow,IT
Need leave approval for medical reasons urgently,HR
System is crashing frequently urgently,IT
PF contribution issue asap,Finance
Reimbursement not processed I am facing this issue,Finance
Work from home approval request kindly resolve,HR
Work from home approval request kindly resolve,HR
Update personal details in HR system,HR
Cannot access company portal please help,IT
TDS mismatch in salary slip I am facing this issue,Finance
Need leave approval for medical reasons please help,HR
Update personal details in HR system asap,HR
Salary not credited this month,Finance
Resignation process guidance needed,HR
Work from home approval request urgently,HR
Joining formalities query asap,HR
Reimbursement not processed,Finance
Bank account update required for salary kindly resolve,Finance
Cannot access company portal urgently,IT
Work from home approval request urgently,HR
Update personal details in HR system please help,HR
Blue screen error on startup,IT
Expense claim not approved asap,Finance
Software installation failed,IT
Resignation process guidance needed urgently,HR
PF contribution issue asap,Finance
Unable to connect to VPN kindly resolve,IT
Incorrect salary calculation I am facing this issue,Finance
Unable to access payslip I am facing this issue,HR
Update personal details in HR system urgently,HR
Expense claim not approved kindly resolve,Finance
Bonus not received kindly resolve,Finance
Computer is very slow please help,IT
System is crashing frequently,IT
Expense claim not approved I am facing this issue,Finance
Unable to access payslip,HR
Update personal details in HR system kindly resolve,HR
PF contribution issue please help,Finance
Maternity leave application help needed urgently,HR
Reimbursement not processed asap,Finance
Blue screen error on startup I am facing this issue,IT
Cannot access company portal,IT
Unable to access payslip urgently,HR
Bonus not received kindly resolve,Finance
Bank account update required for salary asap,Finance
Cannot access company portal urgently,IT
HR policy clarification required asap,HR
Update personal details in HR system urgently,HR
Maternity leave application help needed please help,HR
TDS mismatch in salary slip,Finance
HR policy clarification required asap,HR
HR policy clarification required kindly resolve,HR
Incorrect salary calculation,Finance
Employee benefits information needed please help,HR
Work from home approval request urgently,HR
Invoice payment delay,Finance
Invoice payment delay kindly resolve,Finance
Blue screen error on startup asap,IT
Work from home approval request I am facing this issue,HR
Reimbursement not processed urgently,Finance
My laptop is not working urgently,IT
Salary not credited this month kindly resolve,Finance
Incorrect salary calculation asap,Finance
Computer is very slow please help,IT
My laptop is not working please help,IT
Password reset not working urgently,IT
Bank account update required for salary please help,Finance
Tax deduction issue in payslip I am facing this issue,Finance
Employee benefits information needed I am facing this issue,HR
PF contribution issue kindly resolve,Finance
WiFi is not working,IT
Resignation process guidance needed urgently,HR
My laptop is not working asap,IT
TDS mismatch in salary slip urgently,Finance
Joining formalities query kindly resolve,HR
Expense claim not approved urgently,Finance
Unable to connect to VPN urgently,IT
Reimbursement not processed asap,Finance
Password reset not working please help,IT
Update personal details in HR system asap,HR
Blue screen error on startup kindly resolve,IT
Invoice payment delay,Finance
Bank account update required for salary asap,Finance
Work from home approval request I am facing this issue,HR
Salary not credited this month I am facing this issue,Finance
Email not syncing on device please help,IT
Password reset not working urgently,IT
Expense claim not approved kindly resolve,Finance
PF contribution issue please help,Finance
Blue screen error on startup asap,IT
Salary not credited this month asap,Finance
Invoice payment delay I am facing this issue,Finance
Salary not credited this month,Finance
Tax deduction issue in payslip I am facing this issue,Finance
Tax deduction issue in payslip urgently,Finance
Work from home approval request kindly resolve,HR
Tax deduction issue in payslip please help,Finance
PF contribution issue kindly resolve,Finance
PF contribution issue please help,Finance
Email not syncing on device kindly resolve,IT
WiFi is not working kindly resolve,IT
Software installation failed asap,IT
Reimbursement not processed,Finance
Salary not credited this month urgently,Finance
Bonus not received I am facing this issue,Finance
Employee benefits information needed urgently,HR
Email not syncing on device asap,IT
HR policy clarification required kindly resolve,HR
Computer is very slow asap,IT
TDS mismatch in salary slip asap,Finance
HR policy clarification required urgently,HR
Cannot access company portal please help,IT
Incorrect salary calculation urgently,Finance
PF contribution issue please help,Finance
My laptop is not working asap,IT
Software installation failed,IT
Resignation process guidance needed asap,HR
Bank account update required for salary urgently,Finance
Salary not credited this month kindly resolve,Finance
Need attendance correction urgently,HR
My laptop is not working please help,IT
My laptop is not working urgently,IT
Unable to access payslip I am facing this issue,HR
Bank account update required for salary I am facing this issue,Finance
Need leave approval for medical reasons please help,HR
Employee benefits information needed,HR
Software installation failed asap,IT
Invoice payment delay please help,Finance
Employee benefits information needed I am facing this issue,HR
TDS mismatch in salary slip asap,Finance
TDS mismatch in salary slip please help,Finance
Unable to connect to VPN asap,IT
Unable to access payslip urgently,HR
Invoice payment delay I am facing this issue,Finance
Need attendance correction asap,HR
Invoice payment delay please help,Finance
PF contribution issue please help,Finance
Employee benefits information needed kindly resolve,HR
Update personal details in HR system,HR
Blue screen error on startup kindly resolve,IT
System is crashing frequently kindly resolve,IT
Password reset not working I am facing this issue,IT
Resignation process guidance needed,HR
Expense claim not approved kindly resolve,Finance
Resignation process guidance needed please help,HR
Joining formalities query please help,HR
Email not syncing on device I am facing this issue,IT
Tax deduction issue in payslip I am facing this issue,Finance
Tax deduction issue in payslip kindly resolve,Finance
My laptop is not working,IT
Email not syncing on device urgently,IT
Password reset not working I am facing this issue,IT
Unable to connect to VPN urgently,IT
Employee benefits information needed,HR
Blue screen error on startup I am facing this issue,IT
Expense claim not approved asap,Finance
Maternity leave application help needed kindly resolve,HR
Joining formalities query asap,HR
Salary not credited this month urgently,Finance
Software installation failed I am facing this issue,IT
PF contribution issue please help,Finance
Update personal details in HR system,HR
Software installation failed asap,IT
Cannot access company portal I am facing this issue,IT
Employee benefits information needed please help,HR
Salary not credited this month kindly resolve,Finance
Salary not credited this month,Finance
Salary not credited this month asap,Finance
PF contribution issue,Finance
Resignation process guidance needed,HR
Software installation failed,IT
Password reset not working I am facing this issue,IT
WiFi is not working kindly resolve,IT
Invoice payment delay I am facing this issue,Finance
Invoice payment delay,Finance
Tax deduction issue in payslip,Finance
Invoice payment delay asap,Finance
Incorrect salary calculation,Finance
HR policy clarification required I am facing this issue,HR
Software installation failed asap,IT
Invoice payment delay kindly resolve,Finance
HR policy clarification required please help,HR
Bank account update required for salary kindly resolve,Finance
Need attendance correction,HR
Need attendance correction kindly resolve,HR
Password reset not working please help,IT
Salary not credited this month I am facing this issue,Finance
Expense claim not approved urgently,Finance
Maternity leave application help needed I am facing this issue,HR
Need attendance correction urgently,HR
WiFi is not working asap,IT
TDS mismatch in salary slip asap,Finance
TDS mismatch in salary slip asap,Finance
Employee benefits information needed kindly resolve,HR
Maternity leave application help needed urgently,HR
Software installation failed,IT
Joining formalities query kindly resolve,HR
Update personal details in HR system I am facing this issue,HR
Invoice payment delay urgently,Finance
Bank account update required for salary asap,Finance
Software installation failed asap,IT
Incorrect salary calculation urgently,Finance
HR policy clarification required I am facing this issue,HR
Reimbursement not processed please help,Finance
Resignation process guidance needed asap,HR
Employee benefits information needed kindly resolve,HR
Computer is very slow asap,IT
Blue screen error on startup kindly resolve,IT
Joining formalities query,HR
Cannot access company portal I am facing this issue,IT
Expense claim not approved I am facing this issue,Finance
Employee benefits information needed urgently,HR
Salary not credited this month kindly resolve,Finance
Maternity leave application help needed asap,HR
Employee benefits information needed please help,HR
Unable to access payslip asap,HR
Expense claim not approved please help,Finance
Email not syncing on device please help,IT
Need attendance correction asap,HR
Incorrect salary calculation I am facing this issue,Finance
